"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","symbol","Significant"
61.9597422083958,1.10931108751217,0.251333133119453,4.41370810821404,1.01614944261349e-05,0.000438869263926268,"ENSG00000142694","EVA1B","Up"
105.149780658298,1.20068807199634,0.212416822716528,5.65250932878638,1.58122213744634e-08,5.23572768225386e-06,"ENSG00000175602","CCDC85B","Up"
538.090939351044,1.41694337764855,0.449216051659546,3.15425811792324,0.00160906701452068,0.0142147228313117,"ENSG00000184779","ENSG00000171729","Up"
656.523568375528,1.00104089783157,0.294307476725718,3.40134375439091,0.000670554485963458,0.00775178822634565,"ENSG00000206177","HBM","Up"
75.7135240073213,1.45256283570074,0.337241851243959,4.30718438516092,1.65345775477045e-05,0.000638770416091132,"ENSG00000185883","ATP6V0C","Up"
151.120866181964,-1.04388835628228,0.177016645350187,-5.89711975513481,3.69901406735981e-09,1.97854571672203e-06,"ENSG00000169246","NPIPB3","Down"
364.044044245098,-1.00001870661405,0.322942597929746,-3.09658345794195,0.00195764746217124,0.0161589136057601,"ENSG00000205609","EIF3CL","Down"
509.382027294062,1.02166856518406,0.239341276528867,4.26866848878377,1.96643264264092e-05,0.000703012307486049,"ENSG00000197540","GZMM","Up"
381.322944270269,1.02078282789729,0.194216821483633,5.25589297620813,1.47307940627476e-07,2.2490588234666e-05,"ENSG00000099795","NDUFB7","Up"
368.165015553431,1.12526862539922,0.184236721856321,6.10773256309224,1.0105649896303e-09,7.82401214938881e-07,"ENSG00000152082","MZT2B","Up"
189.970414530595,1.03789484137263,0.254207217991535,4.08286928110433,4.44830469989352e-05,0.00124974895881655,"ENSG00000171222","SCAND1","Up"
127.303480766679,1.7895917602579,0.28256822858734,6.33330848696158,2.39959108595506e-10,3.03373756657972e-07,"ENSG00000240972","MIF","Up"
126.762206849009,1.0460422514561,0.235233538659783,4.44682445120627,8.71489993454519e-06,0.000402651539500731,"ENSG00000169704","GP9","Up"
55.4665920228267,-1.4436786402945,0.537763815866972,-2.68459609534537,0.00726175044897383,0.0399640536184721,"ENSG00000096696","DSP","Down"
1584.71513743284,-1.08551831833967,0.363035144935744,-2.99011909310267,0.00278868696588985,0.0208731268216524,"ENSG00000196735","HLA-DQA1","Down"
1407.69834245282,-1.38616758559236,0.438137568414865,-3.16377248955702,0.00155738486720776,0.0139015092094085,"ENSG00000179344","HLA-DQB1","Down"
586.436825803412,1.19440382672386,0.449167313465217,2.65915125815661,0.00783377843196524,0.0421448188214083,"ENSG00000036448","MYOM2","Up"
